name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Devil's Advocate,234,294240656,,yes,bar,,"POLYGON ((-111.9244521 33.4217782, -111.9243774 33.4217784, -111.9242225 33.4217782, -111.9242221 33.4216221, -111.9242995 33.4216219, -111.9242993 33.421551, -111.9243958 33.4215508, -111.924396 33.4216123, -111.9244511 33.4216122, -111.9244519 33.4217164, -111.9244521 33.4217782))",POINT (-111.9243398 33.4216811),445.9,4799.3
,235,294240658,,,parking,,"POLYGON ((-111.9245284 33.4208452, -111.9241341 33.4208462, -111.9241329 33.4207759, -111.9240033 33.4207746, -111.9240001 33.4217975, -111.9242039 33.4217966, -111.9242093 33.4214877, -111.9245239 33.4214853, -111.9245284 33.4208452))",POINT (-111.9242346 33.4212322),4215.5,45375.2
,236,294241322,,yes,,,"POLYGON ((-111.9248887 33.4194505, -111.9249448 33.4194981, -111.9250452 33.4194157, -111.9249891 33.4193681, -111.9248887 33.4194505))",POINT (-111.924967 33.4194331),96.9,1043.1
,237,294244601,,yes,,,"POLYGON ((-111.9232967 33.4188346, -111.9232765 33.4189645, -111.9232231 33.4189587, -111.9232282 33.4189259, -111.9232167 33.4189246, -111.9232317 33.4188276, -111.9232967 33.4188346))",POINT (-111.9232557 33.4188939),84.4,908.9
,238,294244603,,yes,,,"POLYGON ((-111.9231137 33.4195215, -111.9231422 33.4194109, -111.9220483 33.4192147, -111.9220199 33.4193253, -111.9231137 33.4195215))",POINT (-111.922581 33.4193681),1304.5,14041.9
,239,294244604,,yes,,,"POLYGON ((-111.9230984 33.4193311, -111.9228651 33.41933, -111.9228651 33.4191341, -111.9228812 33.4191341, -111.9228812 33.4190703, -111.9228959 33.4190703, -111.9228957 33.418957, -111.9229519 33.418929, -111.9229509 33.4189976, -111.9231145 33.4189942, -111.9231199 33.4190759, -111.9230971 33.4190748, -111.9230984 33.4193311))",POINT (-111.9229863 33.4191582),814.6,8768.3
,240,294244606,,yes,,,"POLYGON ((-111.9226361 33.4192869, -111.9228042 33.4193168, -111.9228174 33.4192651, -111.9226492 33.4192353, -111.9226361 33.4192869))",POINT (-111.9227268 33.419276),93.6,1007.1
,241,294244607,,yes,,,"POLYGON ((-111.9229995 33.4189052, -111.9229519 33.418929, -111.9228957 33.418957, -111.9223196 33.4192444, -111.9221989 33.4190854, -111.9228788 33.4187429, -111.9229995 33.4189052))",POINT (-111.9226 33.418994),1550,16683.9
,242,294244608,,yes,,,"POLYGON ((-111.9230009 33.4188145, -111.9228989 33.4187396, -111.9234662 33.4182202, -111.9235226 33.4180724, -111.92365 33.4180948, -111.9235842 33.4182828, -111.9230009 33.4188145))",POINT (-111.9232999 33.4184474),1242.7,13376.2
,243,294244799,,,parking,,"POLYGON ((-111.9241998 33.4204656, -111.9233214 33.4202854, -111.9233174 33.4199026, -111.9234528 33.4198421, -111.9236191 33.4198779, -111.9240764 33.4200682, -111.9242079 33.4200694, -111.9241998 33.4204656))",POINT (-111.9237472 33.4201583),3877.9,41741.5
